Title,price1,price2,Code,Product_href
Lenovo ThinkPad L15 Gen 2 - 15.6" - Core i5 1145G7 - 8 Go RAM - 256 Go SSD - Français,"1 201,44 ? HT","1 441,73 ? TTC",20X30073FR,https://www.inmac-wstore.com/lenovo-thinkpad-l15-gen-2-15-6-core-i5-1145g7-8-go-ram-256-go-ssd-francais/p7266554.htm
Lenovo ThinkPad L15 Gen 2 - 15.6" - Ryzen 5 5600U - 8 Go RAM - 512 Go SSD - Français,"1 063,66 ? HT","1 276,39 ? TTC",20X7005QFR,https://www.inmac-wstore.com/lenovo-thinkpad-l15-gen-2-15-6-ryzen-5-5600u-8-go-ram-512-go-ssd-francais/p7266555.htm
Lenovo ThinkPad X1 Yoga Gen 5 - 14" - Core i7 10510U - 16 Go RAM - 512 Go SSD - Français,"1 927,23 ? HT","2 312,68 ? TTC",20UB0004FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-yoga-gen-5-14-core-i7-10510u-16-go-ram-512-go-ssd-francais/p7222284.htm
Lenovo ThinkPad X13 Gen 1 - 13.3" - Ryzen 5 Pro 4650U - 8 Go RAM - 256 Go SSD - Français,"1 153,58 ? HT","1 384,30 ? TTC",20UF000FFR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-gen-1-13-3-ryzen-5-pro-4650u-8-go-ram-256-go-ssd-francais/p7222285.htm
Lenovo ThinkPad X1 Carbon Gen 8 - 14" - Core i7 10510U - 16 Go RAM - 512 Go SSD - Français,"1 790,00 ? HT","2 148,00 ? TTC",20U90006FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-8-14-core-i7-10510u-16-go-ram-512-go-ssd-francais/p7250500.htm
Lenovo ThinkPad T14 Gen 1 - 14" - Ryzen 5 Pro 4650U - 8 Go RAM - 512 Go SSD - Français,"1 261,48 ? HT","1 513,78 ? TTC",20UD001BFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14-gen-1-14-ryzen-5-pro-4650u-8-go-ram-512-go-ssd-francais/p7251845.htm
Lenovo ThinkPad L13 Yoga Gen 2 - 13.3" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"953,15 ? HT","1 143,78 ? TTC",20VK001JFR,https://www.inmac-wstore.com/lenovo-thinkpad-l13-yoga-gen-2-13-3-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7252046.htm
Lenovo ThinkPad X13 Yoga Gen 1 - 13.3" - Core i5 10210U - 16 Go RAM - 512 Go SSD - Français,"1 555,32 ? HT","1 866,38 ? TTC",20SX0003FR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-yoga-gen-1-13-3-core-i5-10210u-16-go-ram-512-go-ssd-francais/p7218840.htm
Lenovo ThinkPad X13 Yoga Gen 1 - 13.3" - Core i7 10510U - 16 Go RAM - 512 Go SSD - Français,"1 663,23 ? HT","1 995,88 ? TTC",20SX0004FR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-yoga-gen-1-13-3-core-i7-10510u-16-go-ram-512-go-ssd-francais/p7218841.htm
Lenovo ThinkPad X1 Carbon Gen 8 - 14" - Core i5 10210U - 16 Go RAM - 512 Go SSD - Français,"1 716,02 ? HT","2 059,22 ? TTC",20U90004FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-8-14-core-i5-10210u-16-go-ram-512-go-ssd-francais/p7219848.htm
