Title,Price excl. btw,price incl. btw,Code,product_href
Lenovo ThinkPad X1 Fold Laptop - Zwart,"2.740,-
       ","3.315,40",20RL000XMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-fold-g1-r-i5-l16g7b-256gb-13-3-w10p-art-20rl000xmb-num-12139616/
Lenovo ThinkPad P17 Laptop - Zwart,"2.745,-
       ","3.321,45",20SN0024MB,https://www.centralpoint.be/nl/laptops/lenovo/ts-nb-ws-p17-g1-i7-32g-1t-10p-art-20sn0024mb-num-12028238/
Lenovo ThinkPad P73 Laptop - Zwart,"2.846,-
       ","3.443,66",20QR0034MB,https://www.centralpoint.be/nl/laptops/lenovo/p73-ci7-16-512gb-17-3in-w10p-art-20qr0034mb-num-10259045/
Lenovo ThinkPad P1 Laptop - Zwart,"3.103,-
       ","3.754,63",20TH0019MB,https://www.centralpoint.be/nl/laptops/lenovo/p1-g3-t-ci9-15-6in-32-1tb-w10p-art-20th0019mb-num-11735183/
Lenovo WS P17 G1 I7 32G 1T 10P Laptops,"3.440,-
       ","4.162,40",20SN0032MB,https://www.centralpoint.be/nl/laptops/lenovo/lenovo-ws-p17-g1-i7-32g-1t-10p-art-20sn0032mb-num-12262721/
Lenovo ThinkPad E14 Laptop - Zwart,"799,-
       ","966,79",20TA0023MH,https://www.centralpoint.be/nl/laptops/lenovo/e14-g2i5-1135g78gb256gbw10p2-year-art-20ta0023mh-num-12212485/
Lenovo ThinkPad P15s Laptop - Zwart,"1.513,-
       ","1.830,73",20T40008MH,https://www.centralpoint.be/nl/laptops/lenovo/p15s-g1-t-ci7-15-6in-16-512gb-w10p-art-20t40008mh-num-12257565/
Lenovo ThinkBook 15 Laptop - Grijs,"692,-
       ","837,32",20VE00FJMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15-art-20ve00fjmh-num-13627191/
Lenovo ThinkBook 15 Laptop - Grijs,"619,-
       ","748,99",20VE009BMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15-art-20ve009bmh-num-13627190/
Lenovo ThinkBook 14s Yoga Laptop - Blauw,"777,-
       ","940,17",20WE002DMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-14s-yoga-art-20we002dmh-num-13592899/
Lenovo ThinkPad E15 Laptop - Zwart,"749,-
       ","906,29",20TD0028MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkpad-e15-art-20td0028mh-num-13554323/
Lenovo ThinkPad P15s Laptop - Zwart,"1.453,-
       ","1.758,13",20T40008MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkpad-p15s-art-20t40008mh-num-13153529/
