product_name,product_price1,product_price2,image_url,product_href
"Lenovo ThinkPad L560 - 15,6 Zoll - Core i5-6300U @ 2,4 GHz - 8GB RAM - 250GB SSD - FHD (1920x1080) - Webcam - Win10Pro  ","319,00",,https://m.media-amazon.com/images/I/51dsY4VDZ9S._AC_UL320_.jpg,/Lenovo-ThinkPad-L560-i5-6300U-1920x1080/dp/B09BBG97JM/ref=sr_1_31?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-31
"Lenovo IdeaPad 3 82EY003NGE - 15,6"" FHD IPS 120Hz, AMD Ryzen 5 4600H, 16GB RAM, 512GB SSD, GTX 1650Ti, Windows 10  ","855,89",,https://m.media-amazon.com/images/I/51bX-rpJvHL._AC_UL320_.jpg,/Lenovo-IdeaPad-82EY003NGE-1650Ti-Windows/dp/B08CLY31Q5/ref=sr_1_32?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-32
"Lenovo ThinkPad P15 G1 - 15,6"" UHD, i9-10885H, 32GB, 1TB SSD, Quadro RTX3000, Win10 Pro  ","3.444,22",,https://m.media-amazon.com/images/I/51bZvCnY-IL._AC_UL320_.jpg,/Lenovo-ThinkPad-P15-Gen-20ST/dp/B08KSHLT5G/ref=sr_1_33?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-33
"Lenovo Yoga Slim 9i 35,6 cm (14 Zoll, 3840x2160, UHD, WideView, Touch) EVO Slim Notebook (Intel Core i7-1165G7, 16GB RAM, 1TB SSD, Intel Iris Xe Grafik, Windows 10 Home) schwarz Leder  ","1.743,17","1.999,00 €",https://m.media-amazon.com/images/I/51zh7sgXKKS._AC_UL320_.jpg,/Lenovo-3840x2160-WideView-Notebook-i7-1165G7/dp/B08MTKMH37/ref=sr_1_34?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-34
"Lenovo Yoga 6 Laptop 33,8 cm (13,3 Zoll, 1920x1080, Full HD, WideView) Slim Convertible Notebook (AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD, AMD Radeon Grafik, Win 10 Home) dunkelblau  ","869,00",,https://m.media-amazon.com/images/I/61yL5UnNoNL._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-Convertible-dunkelblau/dp/B08DP197RC/ref=sr_1_35?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-35
"Lenovo ThinkPad 11e Yoga Hybrid (2-in-1) 29,5 cm (11.6 Zoll) 1366 x 768 Pixel Touchscreen Intel® Core™ M 4 GB LPDDR3-SDRAM 128 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home Schwarz  ","576,77",,https://m.media-amazon.com/images/I/512xPbY15nL._AC_UL320_.jpg,/Lenovo-ThinkPad-Touchscreen-LPDDR3-SDRAM-802-11ac/dp/B08W9X77Y6/ref=sr_1_36?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-36
"Lenovo ThinkPad L15 G2 20X70045GE 15""FHD R5-5600U 8GB/256GB SSD Win10 Pro  ","872,55",,https://m.media-amazon.com/images/I/51T3F8HYE6S._AC_UL320_.jpg,/Lenovo-ThinkPad-20X70045GE-R5-5600U-256GB-schwarz/dp/B0987RNP93/ref=sr_1_37?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-37
Lenovo ThinkPad P17 Gen 1 20SN - Core i7 10750H / 2.6 GHz  ,"2.194,00",,https://m.media-amazon.com/images/I/61Aj5iaIjUL._AC_UL320_.jpg,/Lenovo-ThinkPad-P17-Gen-20SN/dp/B08KSHJVPS/ref=sr_1_38?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-38
"Lenovo ThinkPad X1 Nano G1 Evo 13"" 2K i5-1130G7 16GB/512GB SSD Win10 Pro  ","1.704,95","1.751,43 €",https://m.media-amazon.com/images/I/717y2sI6j0S._AC_UL320_.jpg,/Lenovo-ThinkPad-Black-i5-1130G7-Wind10Pro/dp/B08Q9MMMSC/ref=sr_1_39?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-39
"Lenovo V15-ADA Laptop 39,6cm (15,6 Zoll, 1920x1080, Full HD, entspiegelt) Notebook (AMD Athlon Silver 3050U, 8GB RAM, 512GB SSD, AMD Radeon Grafik, Windows 10 Home) grau  ","429,00",,https://m.media-amazon.com/images/I/61R3eFrbZrL._AC_UL320_.jpg,/Lenovo-V15-ADA-1920x1080-entspiegelt-Notebook/dp/B08BZW9KG8/ref=sr_1_40?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-40
